name,region,geo_lat,geo_lon
Адыгейск,Адыгея,44.878414,39.190289
Майкоп,Адыгея,44.6098268,40.1006606
Горно-Алтайск,Алтай,51.9581028,85.9603235
Алейск,Алтайский край,52.4922513,82.7793606
Барнаул,Алтайский край,53.3479968,83.7798064
Белокуриха,Алтайский край,51.996152,84.9839604
Бийск,Алтайский край,52.5393864,85.2138453
Горняк,Алтайский край,50.9979622,81.4643358
Заринск,Алтайский край,53.7063476,84.9315081
Змеиногорск,Алтайский край,51.1581094,82.1872547
Камень-на-Оби,Алтайский край,53.7913974,81.3545053
Новоалтайск,Алтайский край,53.4119759,83.9311069
Рубцовск,Алтайский край,51.5012067,81.2078695
Славгород,Алтайский край,52.999463,78.6459232
Яровое,Алтайский край,52.9252146,78.5729775
Белогорск,Амурская область,50.9213415,128.4739471
Благовещенск,Амурская область,50.290659,127.527198
Завитинск,Амурская область,50.1064111,129.4391813
Зея,Амурская область,53.7340088,127.265787
Райчихинск,Амурская область,49.7941615,129.4112492
Свободный,Амурская область,51.3614103,128.1219729
Сковородино,Амурская область,53.9871095,123.9437205
Тында,Амурская область,55.1546441,124.7468904
Циолковский,Амурская область,51.762481,128.1219846
Шимановск,Амурская область,52.0051886,127.7005458
Архангельск,Архангельская область,64.5394289,40.5169606
Вельск,Архангельская область,61.066,42.1032789
Каргополь,Архангельская область,61.5009724,38.9636966
Коряжма,Архангельская область,61.2885948,47.1003015
Котлас,Архангельская область,61.2528972,46.633242
Мезень,Архангельская область,65.8398078,44.2532273
Мирный,Архангельская область,62.7645265,40.3360076
Новодвинск,Архангельская область,64.4136851,40.8208143
Няндома,Архангельская область,61.6654674,40.2062947
Онега,Архангельская область,63.9162928,38.0805031
Северодвинск,Архангельская область,64.5625385,39.8180934
Сольвычегодск,Архангельская область,61.3319616,46.920441
Шенкурск,Архангельская область,62.1057272,42.8996973
Астрахань,Астраханская область,46.3655652,48.0559236
Ахтубинск,Астраханская область,48.2752034,46.1906462
Знаменск,Астраханская область,48.5866291,45.7368019
Камызяк,Астраханская область,46.110579,48.07333
Нариманов,Астраханская область,46.6916565,47.8502476
Харабали,Астраханская область,47.408999,47.2525345
Агидель,Башкортостан,55.8999056,53.9220144
Баймак,Башкортостан,52.5912896,58.3110998
Белебей,Башкортостан,54.1034582,54.1113129
Белорецк,Башкортостан,53.9676488,58.4100419
Бирск,Башкортостан,55.4155753,55.5582214
Благовещенск,Башкортостан,55.0499867,55.9553186
Давлеканово,Башкортостан,54.2226707,55.0312373
Дюртюли,Башкортостан,55.4848318,54.8524765
Ишимбай,Башкортостан,53.4545764,56.0438751
Кумертау,Башкортостан,52.7564939,55.7970197
Межгорье,Башкортостан,54.2397689,57.9614547
Мелеуз,Башкортостан,52.9589532,55.9282838
Нефтекамск,Башкортостан,56.088377,54.2483061
Октябрьский,Башкортостан,54.4815311,53.4655972
Салават,Башкортостан,53.3616974,55.9245224
Сибай,Башкортостан,52.7204651,58.6663783
Стерлитамак,Башкортостан,53.6300864,55.9317089
Туймазы,Башкортостан,54.5999224,53.6950623
Уфа,Башкортостан,54.734944,55.9578468
Учалы,Башкортостан,54.3067375,59.4125461
Янаул,Башкортостан,56.2650146,54.929907
Алексеевка,Белгородская область,50.6299647,38.6880342
Белгород,Белгородская область,50.5976472,36.5856652
Бирюч,Белгородская область,50.6484585,38.4005083
Валуйки,Белгородская область,50.2111207,38.0998772
Грайворон,Белгородская область,50.4862958,35.6663877
Губкин,Белгородская область,51.2837123,37.5347759
Короча,Белгородская область,50.8129041,37.1896436
Новый Оскол,Белгородская область,50.7633747,37.8775484
Старый Оскол,Белгородская область,51.2967101,37.8350182
Строитель,Белгородская область,50.7845099,36.4887648
Шебекино,Белгородская область,50.4004883,36.8877889
Брянск,Брянская область,53.2419535,34.3652146
Дятьково,Брянская область,53.5958178,34.3551812
Жуковка,Брянская область,53.5340397,33.7302579
Злынка,Брянская область,52.4267015,31.7360399
Карачев,Брянская область,53.1296524,34.9888727
Клинцы,Брянская область,52.7529119,32.233911
Мглин,Брянская область,53.0599771,32.8468129
Новозыбков,Брянская область,52.537173,31.9357991
Почеп,Брянская область,52.9154851,33.4744058
Севск,Брянская область,52.1483358,34.4918415
Сельцо,Брянская область,53.3739884,34.1059172
Стародуб,Брянская область,52.5852257,32.760403
Сураж,Брянская область,53.0170888,32.3938878
Трубчевск,Брянская область,52.5791734,33.7660547
Унеча,Брянская область,52.8461199,32.6757629
Фокино,Брянская область,53.4554145,34.4159238
Бабушкин,Бурятия,51.7112755,105.8673219
Гусиноозерск,Бурятия,51.2865048,106.5230319
Закаменск,Бурятия,50.372713,103.286699
Кяхта,Бурятия,50.346543,106.4533516
Северобайкальск,Бурятия,55.635614,109.3361505
Улан-Удэ,Бурятия,51.8335853,107.5842223
Александров,Владимирская область,56.391819,38.7111123
Владимир,Владимирская область,56.1280804,40.4084376
Вязники,Владимирская область,56.29773,42.2687398
Гороховец,Владимирская область,56.2021036,42.6926111
Гусь-Хрустальный,Владимирская область,55.6198751,40.6579929
Камешково,Владимирская область,56.3490152,40.9955183
Карабаново,Владимирская область,56.3131822,38.7034257
Киржач,Владимирская область,56.1486863,38.8635701
Ковров,Владимирская область,56.3554349,41.3170576
Кольчугино,Владимирская область,56.3327254,39.391336
Костерево,Владимирская область,55.9337222,39.6247398
Курлово,Владимирская область,55.452698,40.6124108
Лакинск,Владимирская область,56.0180587,39.956551
Меленки,Владимирская область,55.3387515,41.6340046
Муром,Владимирская область,55.5630311,42.0231362
Петушки,Владимирская область,55.9298134,39.4508075
Покров,Владимирская область,55.9166398,39.1734526
Радужный,Владимирская область,55.9960277,40.3321855
Собинка,Владимирская область,55.9939169,40.0179653
Струнино,Владимирская область,56.3749967,38.5839667
Судогда,Владимирская область,55.9498056,40.8562939
Суздаль,Владимирская область,56.4274441,40.4525692
Юрьев-Польский,Владимирская область,56.4937757,39.6680539
Волгоград,Волгоградская область,48.7070042,44.5170339
Волжский,Волгоградская область,48.7978209,44.7462538
Дубовка,Волгоградская область,49.0554742,44.8270085
Жирновск,Волгоградская область,50.9768814,44.7858202
Калач-на-Дону,Волгоградская область,48.6889024,43.5306303
Камышин,Волгоградская область,50.0651529,45.3844202
Котельниково,Волгоградская область,47.6310259,43.1330872
Котово,Волгоградская область,50.3205766,44.8030699
Краснослободск,Волгоградская область,48.7068721,44.5630857
Ленинск,Волгоградская область,48.6936061,45.1992692
Михайловка,Волгоградская область,50.0708719,43.2401512
Николаевск,Волгоградская область,50.0165306,45.4731658
Новоаннинский,Волгоградская область,50.5296067,42.6666439
Палласовка,Волгоградская область,50.0500944,46.8804277
Петров Вал,Волгоградская область,50.1380557,45.20914
Серафимович,Волгоградская область,49.5663183,42.7360402
Суровикино,Волгоградская область,48.618917,42.8541163
Урюпинск,Волгоградская область,50.7903789,42.0288513
Фролово,Волгоградская область,49.7649148,43.6648641
Бабаево,Вологодская область,59.3892583,35.9377058
Белозерск,Вологодская область,60.0308381,37.7890586
Великий Устюг,Вологодская область,60.7603913,46.3054414
Вологда,Вологодская область,59.2483905,39.8355662
Вытегра,Вологодская область,61.0063465,36.4495137
Грязовец,Вологодская область,58.8757553,40.2485362
Кадников,Вологодская область,59.5037764,40.3441148
Кириллов,Вологодская область,59.8591523,38.3748782
Красавино,Вологодская область,60.9612823,46.4814116
Никольск,Вологодская область,59.5351837,45.4576137
Сокол,Вологодская область,59.4758605,40.1114187
Тотьма,Вологодская область,59.9734998,42.7589506
Устюжна,Вологодская область,58.8383117,36.4425478
Харовск,Вологодская область,59.9479423,40.2000298
Череповец,Вологодская область,59.1269212,37.9090497
Бобров,Воронежская область,51.0901649,40.0318256
Богучар,Воронежская область,49.9352454,40.5590801
Борисоглебск,Воронежская область,51.3655754,42.1008334
Бутурлиновка,Воронежская область,50.8311818,40.5976923
Воронеж,Воронежская область,51.6593332,39.1969229
Калач,Воронежская область,50.4242134,41.0162014
Лиски,Воронежская область,50.9945626,39.5184909
Нововоронеж,Воронежская область,51.3091524,39.2162843
Новохоперск,Воронежская область,51.0952211,41.6173404
Острогожск,Воронежская область,50.8677905,39.0407746
Павловск,Воронежская область,50.453455,40.136874
Поворино,Воронежская область,51.1954419,42.2472726
Россошь,Воронежская область,50.1701949,39.6226965
Семилуки,Воронежская область,51.6951644,39.0190454
Эртиль,Воронежская область,51.830932,40.8074182
Буйнакск,Дагестан,42.8214424,47.1165263
Дагестанские Огни,Дагестан,42.1152296,48.1939354
Дербент,Дагестан,42.058966,48.2907452
Избербаш,Дагестан,42.5650962,47.8710051
Каспийск,Дагестан,42.8916007,47.6367066
Кизилюрт,Дагестан,43.203825,46.8729636
Кизляр,Дагестан,43.8484083,46.7233699
Махачкала,Дагестан,42.9849159,47.5047181
Хасавюрт,Дагестан,43.2504665,46.5851292
Южно-Сухокумск,Дагестан,44.6602467,45.6499523
Биробиджан,Еврейская автономная область,48.7946446,132.9217207
